time,node,event,signal_dbm,noise_dbm
2.001,1,MAC_TX_OK,NA,NA
2.00175,6,PHY_RX,-30.6571,-93.966
2.00175,3,PHY_RX,-30.6571,-93.966
2.00175,8,PHY_RX,-30.6571,-93.966
2.00175,9,PHY_RX,-30.6571,-93.966
2.00175,2,PHY_RX,-31.6709,-93.966
2.00175,0,PHY_RX,-36.3913,-93.966
2.00175,0,MAC_TX_OK,NA,NA
2.00175,5,PHY_RX,-39.6435,-93.966
2.00175,4,PHY_RX,-41.5578,-93.966
2.00175,7,PHY_RX,-42.408,-93.966
2.00251,4,PHY_RX,-30.6571,-93.966
2.00251,5,PHY_RX,-30.6571,-93.966
2.00251,1,PHY_RX,-36.4015,-93.966
2.00251,1,MAC_TX_OK,NA,NA
2.00251,6,PHY_RX,-37.0216,-93.966
2.00251,2,PHY_RX,-37.6678,-93.966
2.00251,7,PHY_RX,-37.3655,-93.966
2.00251,8,PHY_RX,-38.0223,-93.966
2.00251,3,PHY_RX,-40.4293,-93.966
2.00251,9,PHY_RX,-41.7537,-93.966
2.00282,6,PHY_RX,-30.6571,-93.966
2.00282,3,PHY_RX,-30.6571,-93.966
2.00282,8,PHY_RX,-30.6571,-93.966
2.00282,9,PHY_RX,-30.6571,-93.966
2.00282,2,PHY_RX,-31.6499,-93.966
2.00282,0,PHY_RX,-36.4114,-93.966
2.00282,5,PHY_RX,-39.6194,-93.966
2.00282,4,PHY_RX,-41.5445,-93.966
2.00282,7,PHY_RX,-42.3953,-93.966
2.00783,6,PHY_RX,-30.6571,-93.966
2.00783,3,PHY_RX,-30.6571,-93.966
2.00783,8,PHY_RX,-30.6571,-93.966
2.00783,9,PHY_RX,-30.6571,-93.966
2.00783,2,PHY_RX,-31.6426,-93.966
2.00783,0,PHY_RX,-36.4185,-93.966
2.00783,0,MAC_TX_OK,NA,NA
2.00783,5,PHY_RX,-39.611,-93.966
2.00783,4,PHY_RX,-41.5399,-93.966
2.00783,7,PHY_RX,-42.3909,-93.966
2.00815,4,PHY_RX,-30.6571,-93.966
2.00815,5,PHY_RX,-30.6571,-93.966
2.00815,1,PHY_RX,-36.4875,-93.966
2.00815,6,PHY_RX,-37.0957,-93.966
2.00815,7,PHY_RX,-37.1179,-93.966
2.00815,2,PHY_RX,-37.9933,-93.966
2.00815,8,PHY_RX,-38.0732,-93.966
2.00815,3,PHY_RX,-40.5957,-93.966
2.00815,9,PHY_RX,-41.8821,-93.966
2.0089,4,PHY_RX,-30.6571,-93.966
2.0089,5,PHY_RX,-30.6571,-93.966
2.0089,1,PHY_RX,-36.4928,-93.966
2.0089,1,MAC_TX_OK,NA,NA
2.0089,6,PHY_RX,-37.1,-93.966
2.0089,7,PHY_RX,-37.1034,-93.966
2.0089,2,PHY_RX,-38.0122,-93.966
2.0089,8,PHY_RX,-38.0761,-93.966
2.0089,3,PHY_RX,-40.6054,-93.966
2.0089,9,PHY_RX,-41.8896,-93.966
2.00909,6,PHY_RX,-30.6571,-93.966
2.00909,3,PHY_RX,-30.6571,-93.966
2.00909,8,PHY_RX,-30.6571,-93.966
2.00909,9,PHY_RX,-30.6571,-93.966
2.00909,2,PHY_RX,-31.5587,-93.966
2.00909,0,PHY_RX,-36.5055,-93.966
2.00909,0,MAC_TX_OK,NA,NA
2.00909,5,PHY_RX,-39.5141,-93.966
2.00909,4,PHY_RX,-41.4871,-93.966
2.00909,7,PHY_RX,-42.3397,-93.966
2.00913,4,PHY_RX,-30.6571,-93.966
2.00913,5,PHY_RX,-30.6571,-93.966
2.00913,1,PHY_RX,-36.5063,-93.966
2.00913,6,PHY_RX,-37.1111,-93.966
2.00913,7,PHY_RX,-37.0663,-93.966
2.00913,2,PHY_RX,-38.0601,-93.966
2.00913,8,PHY_RX,-38.0837,-93.966
2.00913,3,PHY_RX,-40.63,-93.966
2.00913,9,PHY_RX,-41.9089,-93.966
2.00932,4,PHY_RX,-30.6571,-93.966
2.00932,5,PHY_RX,-30.6571,-93.966
2.00932,1,PHY_RX,-36.5078,-93.966
2.00932,6,PHY_RX,-37.1124,-93.966
2.00932,7,PHY_RX,-37.0621,-93.966
2.00932,2,PHY_RX,-38.0656,-93.966
2.00932,8,PHY_RX,-38.0846,-93.966
2.00932,3,PHY_RX,-40.6329,-93.966
2.00932,9,PHY_RX,-41.9111,-93.966
2.00936,6,PHY_RX,-30.6571,-93.966
2.00936,3,PHY_RX,-30.6571,-93.966
2.00936,8,PHY_RX,-30.6571,-93.966
2.00936,9,PHY_RX,-30.6571,-93.966
2.00936,2,PHY_RX,-31.5549,-93.966
2.00936,0,PHY_RX,-36.5097,-93.966
2.00936,5,PHY_RX,-39.5097,-93.966
2.00936,4,PHY_RX,-41.4848,-93.966
2.00936,7,PHY_RX,-42.3374,-93.966
2.1,1,MAC_TX_OK,NA,NA
2.10016,8,PHY_RX,-30.6571,-93.966
2.10016,2,PHY_RX,-30.7528,-93.966
2.10016,3,PHY_RX,-30.6571,-93.966
2.10016,6,PHY_RX,-30.6571,-93.966
2.10016,9,PHY_RX,-31.3203,-93.966
